"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"571_呉服・服地・寝具小売業","18.0","42.0","20.0","0.0","42.0","34598.0","0.0","1149.0"
"572_男子服小売業","18.0","55.0","36.0","0.0","55.0","84529.0","214.0","2683.0"
"573_婦人・子供服小売業","67.0","221.0","161.0","11.0","232.0","303167.0","235.0","6449.0"
"574_靴・履物小売業","8.0","26.0","21.0","0.0","26.0","34485.0","4.0","972.0"
"579_その他の織物・衣服・身の回り品小売業","22.0","96.0","75.0","1.0","97.0","120222.0","0.0","4525.0"
"58_飲食料品小売業","288.0","1369.0","998.0","71.0","1441.0","1966728.0","8833.0","22161.0"
"581_各種食料品小売業","34.0","276.0","242.0","4.0","280.0","627521.0","179.0","6818.0"
"582_野菜・果実小売業","20.0","120.0","97.0","0.0","120.0","182226.0","208.0","2207.0"
"583_食肉小売業","11.0","62.0","46.0","4.0","66.0","62774.0","0.0","777.0"
"584_鮮魚小売業","14.0","40.0","21.0","0.0","40.0","40484.0","269.0","559.0"
"585_酒小売業","69.0","165.0","55.0","9.0","174.0","200019.0","1708.0","2877.0"
"586_菓子・パン小売業","48.0","224.0","169.0","10.0","235.0","100997.0","418.0","2544.0"
"589_その他の飲食料品小売業","92.0","482.0","368.0","44.0","526.0","752707.0","6051.0","6379.0"
"59_機械器具小売業","118.0","603.0","457.0","4.0","613.0","1323099.0","297156.0","9447.0"
"591_自動車小売業","63.0","390.0","320.0","0.0","394.0","1048313.0","244996.0","3683.0"
"592_自転車小売業","4.0","5.0","0.0","0.0","5.0","2645.0","910.0","226.0"
"593_機械器具小売業（自動車，自転車を除く）","51.0","208.0","137.0","4.0","214.0","272141.0","51250.0","5538.0"
"60_その他の小売業","318.0","1443.0","1085.0","144.0","1594.0","3288701.0","35833.0","31161.0"
"601_家具・建具・畳小売業","20.0","89.0","60.0","0.0","89.0","137013.0","225.0","6167.0"
"602_じゅう器小売業","12.0","26.0","9.0","0.0","26.0","11605.0","15.0","701.0"
"603_医薬品・化粧品小売業","53.0","185.0","125.0","5.0","190.0","321699.0","1727.0","2471.0"
"604_農耕用品小売業","19.0","134.0","120.0","7.0","141.0","448627.0","3580.0","1599.0"
"605_燃料小売業","61.0","353.0","298.0","7.0","367.0","1429298.0","13400.0","320.0"
"606_書籍・文房具小売業","21.0","131.0","105.0","66.0","197.0","128982.0","2000.0","1978.0"
"607_スポーツ用品・がん具・娯楽用品・楽器小売業","22.0","69.0","44.0","8.0","77.0","123969.0","4149.0","1807.0"
"608_写真機・時計・眼鏡小売業","17.0","45.0","33.0","0.0","45.0","52346.0","130.0","994.0"
"609_他に分類されない小売業","93.0","411.0","291.0","51.0","462.0","635162.0","10607.0","15124.0"
"61_無店舗小売業","26.0","136.0","104.0","9.0","145.0","609599.0","618.0","0.0"
"611_通信販売・訪問販売小売業","21.0","116.0","88.0","9.0","125.0","486692.0","600.0","0.0"
"612_自動販売機による小売業","4.0","4.0","0.0","0.0","4.0","x","18.0","0.0"
"619_その他の無店舗小売業","1.0","16.0","16.0","0.0","16.0","x","0.0","0.0"
