"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"602_じゅう器小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"603_医薬品・化粧品小売業","2.0","3.0","1.0","0.0","3.0","x","0.0","x"
"604_農耕用品小売業","1.0","2.0","1.0","0.0","2.0","x","x","x"
"605_燃料小売業","4.0","11.0","5.0","0.0","11.0","22320.0","0.0","46.0"
"606_書籍・文房具小売業","2.0","21.0","19.0","0.0","21.0","x","0.0","x"
"607_スポーツ用品・がん具・娯楽用品・楽器小売業","1.0","1.0","0.0","0.0","1.0","x","0.0","x"
"608_写真機・時計・眼鏡小売業","1.0","2.0","0.0","0.0","2.0","x","0.0","x"
"609_他に分類されない小売業","5.0","11.0","5.0","0.0","11.0","7117.0","209.0","923.0"
"61_無店舗小売業","2.0","2.0","0.0","0.0","2.0","x","0.0","0.0"
"611_通信販売・訪問販売小売業","1.0","1.0","0.0","0.0","1.0","x","0.0","0.0"
"612_自動販売機による小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"619_その他の無店舗小売業","1.0","1.0","0.0","0.0","1.0","x","0.0","0.0"
