"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"552_医薬品・化粧品等卸売業","63.0","725.0","653.0","6.0","743.0","9168306.0","9971.0","0.0"
"553_紙・紙製品卸売業","20.0","169.0","114.0","0.0","169.0","877227.0","1165.0","0.0"
"559_他に分類されない卸売業","79.0","550.0","443.0","13.0","563.0","x","46511.0","0.0"
"小売業計_","2391.0","16688.0","14093.0","788.0","17568.0","3.60473E7","1511181.0","409186.0"
"56_各種商品小売業","8.0","1212.0","1210.0","92.0","1306.0","4524604.0","59708.0","78282.0"
"561_百貨店，総合スーパー","6.0","1196.0","1195.0","91.0","1289.0","x","x","x"
"569_その他の各種商品小売業（従業者が常時50人未満のもの）","2.0","16.0","15.0","1.0","17.0","x","x","x"
"57_織物・衣服・身の回り品小売業","352.0","1690.0","1424.0","52.0","1745.0","2149145.0","7211.0","59777.0"
"571_呉服・服地・寝具小売業","45.0","144.0","85.0","3.0","147.0","118776.0","579.0","3687.0"
"572_男子服小売業","36.0","213.0","185.0","10.0","226.0","350068.0","200.0","12189.0"
"573_婦人・子供服小売業","161.0","671.0","561.0","25.0","696.0","830376.0","679.0","21874.0"
"574_靴・履物小売業","22.0","66.0","55.0","0.0","66.0","122913.0","39.0","2898.0"
"579_その他の織物・衣服・身の回り品小売業","88.0","596.0","538.0","14.0","610.0","727012.0","5714.0","19129.0"
"58_飲食料品小売業","643.0","6139.0","5360.0","158.0","6300.0","9732331.0","150915.0","98637.0"
"581_各種食料品小売業","60.0","2310.0","2283.0","55.0","2369.0","4652322.0","83442.0","48356.0"
"582_野菜・果実小売業","37.0","113.0","63.0","4.0","117.0","126983.0","2258.0","1998.0"
"583_食肉小売業","34.0","126.0","78.0","19.0","145.0","159904.0","0.0","2509.0"
"584_鮮魚小売業","37.0","111.0","50.0","6.0","117.0","107865.0","0.0","1840.0"
"585_酒小売業","120.0","389.0","195.0","2.0","391.0","569057.0","4528.0","5922.0"
"586_菓子・パン小売業","97.0","476.0","363.0","4.0","480.0","299084.0","90.0","3888.0"
"589_その他の飲食料品小売業","258.0","2614.0","2328.0","68.0","2681.0","3817116.0","60597.0","34124.0"
"59_機械器具小売業","356.0","2249.0","1820.0","48.0","2318.0","7714279.0","1017765.0","47233.0"
"591_自動車小売業","187.0","1444.0","1220.0","26.0","1483.0","5601964.0","921179.0","10026.0"
"592_自転車小売業","15.0","42.0","26.0","0.0","42.0","46873.0","871.0","2475.0"
"593_機械器具小売業（自動車，自転車を除く）","154.0","763.0","574.0","22.0","793.0","2065442.0","95715.0","34732.0"
"60_その他の小売業","965.0","5005.0","3950.0","438.0","5506.0","1.1046445E7","254101.0","125257.0"
"601_家具・建具・畳小売業","40.0","238.0","185.0","6.0","244.0","396156.0","10878.0","24118.0"
"602_じゅう器小売業","31.0","86.0","42.0","1.0","88.0","77441.0","969.0","2378.0"
"603_医薬品・化粧品小売業","222.0","1102.0","893.0","9.0","1121.0","2180065.0","19741.0","15122.0"
"604_農耕用品小売業","22.0","114.0","90.0","2.0","116.0","234266.0","16310.0","2683.0"
"605_燃料小売業","130.0","687.0","530.0","30.0","761.0","4465394.0","42354.0","950.0"
"606_書籍・文房具小売業","93.0","795.0","703.0","28.0","823.0","605347.0","34773.0","9696.0"
"607_スポーツ用品・がん具・娯楽用品・楽器小売業","59.0","329.0","267.0","24.0","353.0","568486.0","883.0","11543.0"
"608_写真機・時計・眼鏡小売業","75.0","296.0","224.0","11.0","303.0","416653.0","7879.0","5676.0"
"609_他に分類されない小売業","293.0","1358.0","1016.0","327.0","1697.0","2102637.0","120314.0","53091.0"
"61_無店舗小売業","67.0","393.0","329.0","0.0","393.0","880496.0","21481.0","0.0"
"611_通信販売・訪問販売小売業","47.0","251.0","203.0","0.0","251.0","352506.0","19922.0","0.0"
"612_自動販売機による小売業","10.0","80.0","71.0","0.0","80.0","122942.0","921.0","0.0"
"619_その他の無店舗小売業","10.0","62.0","55.0","0.0","62.0","405048.0","638.0","0.0"
