"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"552_医薬品・化粧品等卸売業","2.0","4.0","1.0","1.0","5.0","x","x","0.0"
"553_紙・紙製品卸売業","2.0","50.0","45.0","0.0","50.0","x","0.0","0.0"
"559_他に分類されない卸売業","2.0","14.0","12.0","0.0","14.0","x","x","0.0"
"小売業計_","158.0","705.0","510.0","21.0","733.0","1090240.0","45495.0","19206.0"
"56_各種商品小売業","1.0","1.0","0.0","0.0","1.0","x","0.0","x"
"561_百貨店，総合スーパー","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"569_その他の各種商品小売業（従業者が常時50人未満のもの）","1.0","1.0","0.0","0.0","1.0","x","0.0","x"
"57_織物・衣服・身の回り品小売業","12.0","24.0","11.0","0.0","24.0","12649.0","373.0","1729.0"
"571_呉服・服地・寝具小売業","4.0","7.0","1.0","0.0","7.0","757.0","304.0","374.0"
"572_男子服小売業","1.0","1.0","0.0","0.0","1.0","x","0.0","x"
"573_婦人・子供服小売業","3.0","3.0","0.0","0.0","3.0","1185.0","69.0","189.0"
"574_靴・履物小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"579_その他の織物・衣服・身の回り品小売業","4.0","13.0","10.0","0.0","13.0","x","0.0","x"
"58_飲食料品小売業","61.0","403.0","323.0","12.0","415.0","548576.0","1192.0","9606.0"
"581_各種食料品小売業","6.0","153.0","149.0","1.0","154.0","306167.0","510.0","5500.0"
"582_野菜・果実小売業","5.0","14.0","9.0","0.0","14.0","11690.0","10.0","239.0"
"583_食肉小売業","4.0","10.0","3.0","0.0","10.0","10400.0","0.0","119.0"
"584_鮮魚小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"585_酒小売業","13.0","36.0","16.0","0.0","36.0","25823.0","0.0","731.0"
"586_菓子・パン小売業","10.0","23.0","10.0","8.0","31.0","3873.0","441.0","247.0"
"589_その他の飲食料品小売業","23.0","167.0","136.0","3.0","170.0","190623.0","231.0","2770.0"
"59_機械器具小売業","14.0","59.0","36.0","1.0","60.0","88809.0","34046.0","511.0"
"591_自動車小売業","8.0","45.0","33.0","0.0","45.0","80724.0","33446.0","290.0"
"592_自転車小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"593_機械器具小売業（自動車，自転車を除く）","6.0","14.0","3.0","1.0","15.0","8085.0","600.0","221.0"
"60_その他の小売業","68.0","216.0","140.0","8.0","231.0","436057.0","x","x"
"601_家具・建具・畳小売業","5.0","12.0","6.0","0.0","12.0","6484.0","56.0","78.0"
"602_じゅう器小売業","1.0","2.0","0.0","0.0","2.0","x","0.0","x"
"603_医薬品・化粧品小売業","14.0","65.0","53.0","4.0","69.0","102270.0","5710.0","1987.0"
"604_農耕用品小売業","10.0","26.0","15.0","0.0","28.0","36461.0","1059.0","1618.0"
"605_燃料小売業","13.0","47.0","33.0","2.0","54.0","198560.0","2782.0","540.0"
"606_書籍・文房具小売業","3.0","5.0","0.0","0.0","5.0","1803.0","1.0","87.0"
"607_スポーツ用品・がん具・娯楽用品・楽器小売業","1.0","2.0","1.0","0.0","2.0","x","0.0","x"
"608_写真機・時計・眼鏡小売業","3.0","6.0","2.0","0.0","6.0","1360.0","110.0","88.0"
"609_他に分類されない小売業","18.0","51.0","30.0","2.0","53.0","x","x","2775.0"
"61_無店舗小売業","2.0","2.0","0.0","0.0","2.0","x","x","0.0"
"611_通信販売・訪問販売小売業","1.0","1.0","0.0","0.0","1.0","x","x","0.0"
"612_自動販売機による小売業","1.0","1.0","0.0","0.0","1.0","x","0.0","0.0"
"619_その他の無店舗小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
