"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"561_百貨店，総合スーパー","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"569_その他の各種商品小売業（従業者が常時50人未満のもの）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"57_織物・衣服・身の回り品小売業","12.0","27.0","17.0","0.0","27.0","19945.0","127.0","1666.0"
"571_呉服・服地・寝具小売業","1.0","3.0","2.0","0.0","3.0","x","0.0","x"
"572_男子服小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"573_婦人・子供服小売業","8.0","14.0","7.0","0.0","14.0","5889.0","127.0","381.0"
"574_靴・履物小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"579_その他の織物・衣服・身の回り品小売業","3.0","10.0","8.0","0.0","10.0","x","0.0","x"
"58_飲食料品小売業","71.0","455.0","361.0","37.0","492.0","692861.0","4118.0","7281.0"
"581_各種食料品小売業","11.0","177.0","165.0","1.0","178.0","317400.0","3.0","3829.0"
"582_野菜・果実小売業","6.0","13.0","6.0","0.0","13.0","19546.0","930.0","285.0"
"583_食肉小売業","1.0","2.0","1.0","0.0","2.0","x","0.0","x"
"584_鮮魚小売業","3.0","11.0","0.0","0.0","11.0","3359.0","0.0","85.0"
"585_酒小売業","13.0","26.0","8.0","0.0","26.0","38156.0","675.0","669.0"
"586_菓子・パン小売業","10.0","50.0","41.0","1.0","51.0","43662.0","678.0","667.0"
"589_その他の飲食料品小売業","27.0","176.0","140.0","35.0","211.0","x","1832.0","x"
"59_機械器具小売業","13.0","42.0","25.0","0.0","42.0","16182.0","11307.0","401.0"
"591_自動車小売業","7.0","26.0","18.0","0.0","26.0","7422.0","11307.0","195.0"
"592_自転車小売業","1.0","2.0","0.0","0.0","2.0","x","0.0","x"
"593_機械器具小売業（自動車，自転車を除く）","5.0","14.0","7.0","0.0","14.0","x","0.0","x"
"60_その他の小売業","71.0","320.0","241.0","29.0","349.0","x","6846.0","7825.0"
"601_家具・建具・畳小売業","3.0","20.0","16.0","1.0","21.0","6784.0","450.0","190.0"
"602_じゅう器小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"603_医薬品・化粧品小売業","15.0","58.0","37.0","5.0","62.0","122582.0","24.0","1023.0"
"604_農耕用品小売業","4.0","60.0","59.0","0.0","60.0","67886.0","1354.0","1070.0"
"605_燃料小売業","15.0","64.0","51.0","1.0","65.0","261155.0","3409.0","106.0"
"606_書籍・文房具小売業","5.0","31.0","24.0","0.0","31.0","20273.0","0.0","187.0"
"607_スポーツ用品・がん具・娯楽用品・楽器小売業","3.0","5.0","2.0","0.0","5.0","964.0","0.0","122.0"
"608_写真機・時計・眼鏡小売業","4.0","8.0","2.0","0.0","8.0","2404.0","431.0","188.0"
"609_他に分類されない小売業","22.0","74.0","50.0","22.0","97.0","x","1178.0","4939.0"
"61_無店舗小売業","2.0","5.0","2.0","0.0","5.0","x","0.0","0.0"
"611_通信販売・訪問販売小売業","1.0","4.0","2.0","0.0","4.0","x","0.0","0.0"
"612_自動販売機による小売業","1.0","1.0","0.0","0.0","1.0","x","0.0","0.0"
"619_その他の無店舗小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
