"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"569_その他の各種商品小売業（従業者が常時50人未満のもの）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"57_織物・衣服・身の回り品小売業","46.0","187.0","163.0","6.0","193.0","280482.0","2077.0","10201.0"
"571_呉服・服地・寝具小売業","5.0","17.0","13.0","0.0","17.0","17626.0","2000.0","434.0"
"572_男子服小売業","8.0","43.0","39.0","1.0","44.0","80619.0","0.0","2810.0"
"573_婦人・子供服小売業","22.0","66.0","53.0","5.0","71.0","108327.0","77.0","3841.0"
"574_靴・履物小売業","3.0","9.0","9.0","0.0","9.0","18606.0","0.0","612.0"
"579_その他の織物・衣服・身の回り品小売業","8.0","52.0","49.0","0.0","52.0","55304.0","0.0","2504.0"
"58_飲食料品小売業","77.0","1044.0","949.0","13.0","1057.0","1477488.0","1612.0","16410.0"
"581_各種食料品小売業","8.0","379.0","374.0","0.0","379.0","650944.0","5.0","8129.0"
"582_野菜・果実小売業","5.0","9.0","4.0","10.0","19.0","14862.0","0.0","210.0"
"583_食肉小売業","3.0","33.0","28.0","0.0","33.0","x","0.0","x"
"584_鮮魚小売業","1.0","1.0","0.0","0.0","1.0","x","0.0","x"
"585_酒小売業","10.0","21.0","3.0","0.0","21.0","13981.0","133.0","269.0"
"586_菓子・パン小売業","20.0","123.0","96.0","2.0","125.0","67738.0","18.0","945.0"
"589_その他の飲食料品小売業","30.0","478.0","444.0","1.0","479.0","x","1456.0","x"
"59_機械器具小売業","63.0","503.0","435.0","1.0","506.0","1703303.0","154630.0","13485.0"
"591_自動車小売業","47.0","355.0","307.0","0.0","355.0","1254171.0","139947.0","6427.0"
"592_自転車小売業","1.0","7.0","7.0","0.0","7.0","x","0.0","x"
"593_機械器具小売業（自動車，自転車を除く）","15.0","141.0","121.0","1.0","144.0","x","14683.0","x"
"60_その他の小売業","104.0","661.0","566.0","52.0","718.0","x","22468.0","x"
"601_家具・建具・畳小売業","5.0","77.0","73.0","37.0","114.0","124210.0","36.0","6063.0"
"602_じゅう器小売業","3.0","7.0","3.0","2.0","9.0","975.0","0.0","164.0"
"603_医薬品・化粧品小売業","26.0","157.0","140.0","0.0","158.0","230539.0","310.0","3601.0"
"604_農耕用品小売業","4.0","48.0","41.0","2.0","50.0","38912.0","1467.0","863.0"
"605_燃料小売業","14.0","57.0","48.0","7.0","68.0","346299.0","5883.0","172.0"
"606_書籍・文房具小売業","11.0","114.0","102.0","1.0","115.0","71009.0","4796.0","1629.0"
"607_スポーツ用品・がん具・娯楽用品・楽器小売業","5.0","23.0","18.0","0.0","23.0","62420.0","6000.0","4064.0"
"608_写真機・時計・眼鏡小売業","7.0","20.0","16.0","0.0","20.0","21971.0","0.0","753.0"
"609_他に分類されない小売業","29.0","158.0","125.0","3.0","161.0","x","3976.0","x"
"61_無店舗小売業","4.0","18.0","16.0","0.0","18.0","32702.0","0.0","0.0"
"611_通信販売・訪問販売小売業","4.0","18.0","16.0","0.0","18.0","32702.0","0.0","0.0"
"612_自動販売機による小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"619_その他の無店舗小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
