"産業分類小分類","事業所数","従業者数（人）","常用雇用者数（人）　","臨時　雇用者数（人）","就業者数（人）","年間商品販売額（万円）","その他の収入額（万円）　","売場面積（m2）"
"559_他に分類されない卸売業","11.0","96.0","86.0","0.0","96.0","621201.0","67775.0","0.0"
"小売業計_","372.0","1950.0","1462.0","108.0","2057.0","3133785.0","123102.0","53708.0"
"56_各種商品小売業","1.0","197.0","197.0","4.0","201.0","x","0.0","x"
"561_百貨店，総合スーパー","1.0","197.0","197.0","4.0","201.0","x","0.0","x"
"569_その他の各種商品小売業（従業者が常時50人未満のもの）","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"57_織物・衣服・身の回り品小売業","57.0","180.0","117.0","2.0","182.0","201368.0","302.0","8590.0"
"571_呉服・服地・寝具小売業","12.0","28.0","11.0","0.0","28.0","11576.0","48.0","1023.0"
"572_男子服小売業","4.0","12.0","9.0","0.0","12.0","31868.0","13.0","975.0"
"573_婦人・子供服小売業","27.0","68.0","39.0","1.0","69.0","85812.0","37.0","3237.0"
"574_靴・履物小売業","3.0","8.0","3.0","0.0","8.0","9603.0","0.0","209.0"
"579_その他の織物・衣服・身の回り品小売業","11.0","64.0","55.0","1.0","65.0","62509.0","204.0","3146.0"
"58_飲食料品小売業","102.0","579.0","432.0","45.0","623.0","980223.0","1202.0","10853.0"
"581_各種食料品小売業","6.0","153.0","149.0","0.0","153.0","418444.0","0.0","3786.0"
"582_野菜・果実小売業","5.0","27.0","21.0","4.0","31.0","22662.0","0.0","434.0"
"583_食肉小売業","1.0","7.0","1.0","0.0","7.0","x","0.0","x"
"584_鮮魚小売業","6.0","15.0","7.0","0.0","13.0","x","162.0","x"
"585_酒小売業","15.0","39.0","17.0","0.0","39.0","88828.0","3.0","1211.0"
"586_菓子・パン小売業","21.0","96.0","66.0","5.0","101.0","47534.0","0.0","1178.0"
"589_その他の飲食料品小売業","48.0","242.0","171.0","36.0","279.0","x","1037.0","x"
"59_機械器具小売業","51.0","280.0","204.0","7.0","290.0","523900.0","104114.0","7800.0"
"591_自動車小売業","25.0","124.0","85.0","0.0","124.0","238176.0","59268.0","638.0"
"592_自転車小売業","5.0","9.0","0.0","0.0","9.0","2828.0","400.0","227.0"
"593_機械器具小売業（自動車，自転車を除く）","21.0","147.0","119.0","7.0","157.0","282896.0","44446.0","6935.0"
"60_その他の小売業","159.0","704.0","503.0","50.0","751.0","x","17484.0","x"
"601_家具・建具・畳小売業","7.0","24.0","11.0","1.0","25.0","27000.0","0.0","3640.0"
"602_じゅう器小売業","7.0","18.0","8.0","0.0","18.0","11891.0","0.0","469.0"
"603_医薬品・化粧品小売業","24.0","102.0","64.0","0.0","102.0","165983.0","1417.0","1386.0"
"604_農耕用品小売業","13.0","42.0","25.0","3.0","45.0","96833.0","1124.0","1052.0"
"605_燃料小売業","19.0","77.0","58.0","0.0","77.0","297104.0","831.0","142.0"
"606_書籍・文房具小売業","15.0","158.0","137.0","0.0","155.0","67686.0","6268.0","910.0"
"607_スポーツ用品・がん具・娯楽用品・楽器小売業","9.0","51.0","40.0","0.0","51.0","22579.0","5403.0","614.0"
"608_写真機・時計・眼鏡小売業","14.0","46.0","34.0","0.0","46.0","42611.0","1565.0","1025.0"
"609_他に分類されない小売業","51.0","186.0","126.0","46.0","232.0","x","876.0","x"
"61_無店舗小売業","2.0","10.0","9.0","0.0","10.0","x","0.0","0.0"
"611_通信販売・訪問販売小売業","2.0","10.0","9.0","0.0","10.0","x","0.0","0.0"
"612_自動販売機による小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"619_その他の無店舗小売業","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
